business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,32.1323047,-110.9999851,ChIJbdzRkily1oYRnTYw5-X71ko,Sky Dragon Chinese Cuisine,4.0,369.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",73.5,10,9,True
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,32.221667,-110.925833,ChIJsxlRnDds1oYRvwzZfLF5Dos,Piazza Gavi,4.5,1561.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",66.5,10,9,True
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,32.3385723,-111.0107602,ChIJ77jWpo9l1oYRyS1f8QgmPm8,Papa Murphy's | Take 'N' Bake Pizza,4.5,508.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",72.0,10,2,True
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,32.206315,-110.887843,ChIJJRQwBkng1YYRPFmB7C_JhdY,Home Plate Marana,4.0,927.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",97.0,10,6,True
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,32.3387235226,-111.0303098651,ChIJi9KPfixp1oYRaomFp1Wzbgk,Rosati's Pizza,4.1,263.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",75.5,10,6,True
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,32.2509598946,-110.9591583204,ChIJF3zEsXNx1oYRtcGBGDbK2w4,Sher-e-Punjab,4.6,2240.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",51.0,10,7,True
KUx_q3nzqUINYgUTrZc9OA,Pita Pit,32.2319918,-110.9584924,ChIJ0dTP-eJw1oYRipOh1JYc5S0,Urban Pita,4.4,537.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",94.0,10,6,True
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,32.149473,-110.9781864,ChIJUZQ5Gjl61oYRG2yoJlD_BAg,La Bella China Restaurant,4.2,601.0,1.0,OPERATIONAL,"establishment, food, meal_delivery, point_of_interest, restaurant",63.0,10,7,True
adATTqggIQX5xxLDISkFTw,Just Churros,32.2712313189,-110.9920754497,ChIJfWF80oRx1oYRKLJfAV1_1KM,Just Churros,4.9,115.0,1.0,CLOSED_PERMANENTLY,"bakery, establishment, food, point_of_interest, restaurant, store",,10,6,True
2vAqYNN86VWXZiy2E96-TQ,Chick-fil-A,32.2324455,-110.9516985,ChIJ68FbCDBw1oYReQjkqmSYk30,Chick-fil-A,4.4,3311.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",95.0,10,5,True
fVPPZWf5QghlCLYRYec1rg,China Sunrise Restaurant,32.3088305,-110.8454971,ChIJ8-OgxTds1oYRHSqdxpohMJ0,China Sunrise Restaurant,4.7,3.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,0,0,False
3swM60bulnut1d4AZti80Q,Rockabilly Grill,32.2739894,-110.9775344,ChIJofekredz1oYRBKAnpueKC0A,Rockabilly Grill,4.2,739.0,1.0,CLOSED_PERMANENTLY,"bar, establishment, food, point_of_interest, restaurant",,10,6,True
iNMdSi5bmvGSGeRQiUW4dw,Wendy's,32.1637404,-110.9167218,ChIJV_bodbVv1oYRl0eIFhMsEj0,Wendy's,4.0,1579.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",105.0,10,2,True
oQYZ3j2H758y07p4RpCWug,August Rhodes Bakery,32.2627192,-110.9446296,ChIJDYSxBixx1oYR9qRfj5nNoyE,August Rhodes Bakery,,,,CLOSED_PERMANENTLY,"bakery, establishment, food, point_of_interest, store",,0,0,False
slie9368A_rG70_1Wxe50g,Domino's Pizza,32.2644762747,-110.9259400061,ChIJXf-gjGlw1oYRwesU980LM5U,Domino's Pizza,4.0,311.0,1.0,OPERATIONAL,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",100.0,10,2,True
C3roKH0ekXBz8l0ZoUIvAA,Roadrunner Coffee Co.,32.2865595,-110.9982234,ChIJd0Nj7P8K1oYRgbUFA5F5TQo,Roadrunner Coffee Co.,4.4,585.0,1.0,OPERATIONAL,"cafe, establishment, food, point_of_interest, store",75.0,10,2,True
